kegg_id,metatlas_inchi_key
C06762,ALFQPWXBAWHVDP-UHFFFAOYSA-N
C09143,ALKHEZOKTHCOBM-GTBZSHDQSA-N
C09260,ALKTVPFKDYZFGA-WOJBJXKFSA-N
C16212,ALKYHXVLJMQRLQ-UHFFFAOYSA-N
C06399,ALLJLLMNGBKZLT-BRPYDKQXSA-N
C15842,ALLWPCYJUTZQBK-JGYQNBBASA-N
C07753,ALOBUEHUHMBRLE-UHFFFAOYSA-N
C01013,ALRHLSYJTWAHJZ-UHFFFAOYSA-N
C14421,ALRLPDGCPYIVHP-UHFFFAOYSA-N
C13682,ALSKYCOJJPXPFS-BBRMVZONSA-N
C11431,ALTXUIJFJAHUPS-KGLIPLIRSA-N
C07258///C08200,ALWKGYPQUAPLQC-UHFFFAOYSA-N
C00568,ALYNCZNDIQEVRV-UHFFFAOYSA-N
C02400,ALZAOGATQMXJKX-UQRCBBHQSA-N
C11786,AMAPEXTUMXQULJ-APQDOHRLSA-N
C01433,AMBQHHVBBHTQBF-UOUCRYGSSA-N
C06326,AMDDRMIFTJHJGD-RITPCOANSA-N
C06326,AMDDRMIFTJHJGD-UHFFFAOYSA-N
C10956,AMEKQAFGQBKLKX-UHFFFAOYSA-N
C18657,AMFGTOFWMRQMEM-UHFFFAOYSA-N
C14511,AMFGWXWBFGVCKG-UHFFFAOYSA-N
C15591,AMFXPHNKTUIKLV-GOSISDBHSA-N
C09702,AMHCJQBKGMEAAJ-NZBPQXDJSA-N
C12948,AMHPTVWBZSYFSS-UHFFFAOYSA-N
C10369,AMIDUPFSOUCLQB-UHFFFAOYSA-N
C16409,AMJCTDBATIKENQ-YRDFTBLNSA-N
C10399,AMKNOBHCKRZHIO-UHFFFAOYSA-N
C07792,AMKVXSZCKVJAGH-UHFFFAOYSA-N
C01839,AMKYESDOVDKZKV-UHFFFAOYSA-N
C17515,AMLDBWWQKYLAHJ-UHFFFAOYSA-N
C07603,AMOGMTLMADGEOQ-WYBIKOHLSA-N
C16834,AMQJEAYHLZJPGS-UHFFFAOYSA-N
C11075,AMRQXHFXNZFDCH-VIFPVBQESA-N
C10135,AMSCMASJCYVAIF-QCVMBYIASA-N
C15464,AMSKYRSZBKQWMU-UHFFFAOYSA-N
C03237,AMSWDUXCNHIVFP-ZMHDXICWSA-N
C13675,ANDGGVOPIJEHOF-UHFFFAOYSA-N
C12019,ANDVEUKOOBWYKC-UHFFFAOYSA-N
C01853,ANEBWDNUQVPSJT-UHFFFAOYSA-N
C19073,ANFHKXSOSRDDRQ-UHFFFAOYSA-N
C10633,ANFSXHKDCKWWDB-UHFFFAOYSA-N
C15696,ANGKCYLBHBLXFP-AXVMNCJNSA-N
C14565,ANHMWNGBSJFXSA-UHFFFAOYSA-N
C09862,ANHVSCXCALAIQN-IATRGZMQSA-N
C19018,ANIAQSUBRGXWLS-UHFFFAOYSA-N
C10763,ANJTVLIZGCUXLD-DTWKUNHWSA-N
C00061,ANKZYBDXHMZBDK-SCRDCRAPSA-O
C17574,ANLMVXSIPASBFL-MBWODLHSSA-N
C01854,ANLMVXSIPASBFL-XGNJAFTASA-N
C13802,ANOICLBSJIMQTA-WXGBOJPQSA-N
C17387,ANOXEUSGZWSCQL-LOYHVIPDSA-N
C14441,ANPHVANSJXDRTP-BSXFFOKHSA-N
C12447,ANSAJFYVUGUZQP-QEHJDLSMSA-N
C19220,ANUCHZVCBDOPOX-UHFFFAOYSA-N
C05433,ANVAOWXLWRTKGA-JLTXGRSLSA-N
C05433,ANVAOWXLWRTKGA-NTXLUARGSA-N
C02645,ANXVUHHMAOYZPG-BOCYDZBOSA-N
C20259,ANZJBCHSOXCCRQ-FKUXLPTCSA-N
C15045,AOAIMWZHKDELLZ-ACCUITESSA-N
C12361,AODNOMYFVATKKO-UHFFFAOYSA-N
C05472,AODPIQQILQLWGS-GXBDJPPSSA-N
C16428,AOFQQLZNDSBFLN-HNNGNKQASA-N
C09213,AOHCBEAZXHZMOR-ZDUSSCGKSA-O
C08798,AOHIGMQGPFTKQX-QZPKXHNASA-N
C08803,AOHIGMQGPFTKQX-SSGGGWRTSA-N
C01661,AOJJSUZBOXZQNB-TZSSRYMLSA-N
C11230,AOJJSUZBOXZQNB-VTZDEGQISA-N
C15987,AOKCDAVWJLOAHG-UHFFFAOYSA-N
C03998,AOKQNZVJJXPUQA-KQYNXXCUSA-O
C04282,AOMLMYXPXUTBQH-UHFFFAOYSA-N
C11927,AONILRCSLAIOQE-DVWMECQTSA-N
C11928,AONILRCSLAIOQE-KISRQWFGSA-N
C11922,AONILRCSLAIOQE-LREJFELKSA-N
C10755,AOOCSKCGZYCEJX-KZVDOYCCSA-N
C09797,AOPMSFXOYJXDNJ-IRFSQMTFSA-N
C18171,AOPOCGPBAIARAV-OTBJXLELSA-N
C15952,AOPPEYCPJLSBEA-XCPACDMKSA-N
C18543,AOQMRUTZEYVDIL-UHFFFAOYSA-N
C18051,AORLUAKWVIEOLL-RKDXNWHRSA-N
C17253,AOYJXBVIPWAMOG-PKNBQFBNSA-N
C17253,AOYJXBVIPWAMOG-UHFFFAOYSA-N
C10574,AOZTYYBGNNXAOI-NTEUORMPSA-N
C14267,APAJFZPFBHMFQR-UHFFFAOYSA-N
C14901,APBIVLKQBBISBA-UHFFFAOYSA-N
C12666,APGDTXUMTIZLCJ-CGVGKPPMSA-N
C10054,APHJPNXEBUUMKB-UHFFFAOYSA-N
C09019,APHMCINPFLAAQH-NCYKPQTJSA-N
C05394,APIQNBNBIICCON-FKMSRSAHSA-N
C13708,APIXJSLKIYYUKG-UHFFFAOYSA-N
C11896,APIZAZFFQBVSJA-ZJDLJICXSA-N
C14754,APJDQUGPCJRQRJ-LBPRGKRZSA-N
C18545,APJLTUBHYCOZJI-VZCXRCSSSA-N
C00398,APJYDQYYACXCRM-UHFFFAOYSA-N
